,bollinger_cash_and_asset_value,holdasset_asset_value,holdcash_cash,lookback_period,no_of_std,results_count,segment_start_datetime
67,1000.0,"(1011.3175115185189,)","(1000.0,)",1,0.2,37,"('2017-09-01T07-00-00',)"
79,,"(nan,)","(nan,)",1,0.4,0,"(nan,)"
69,1000.0,"(1011.3175115185189,)","(1000.0,)",1,0.6000000000000001,37,"('2017-09-01T07-00-00',)"
71,1000.0,"(1011.3175115185189,)","(1000.0,)",1,0.8,37,"('2017-09-01T07-00-00',)"
63,1000.0,"(1011.3175115185189,)","(1000.0,)",1,1.0,37,"('2017-09-01T07-00-00',)"
66,1000.0,"(1011.3175115185189,)","(1000.0,)",1,1.2,37,"('2017-09-01T07-00-00',)"
78,1000.0,"(1011.3175115185189,)","(1000.0,)",1,1.4000000000000001,37,"('2017-09-01T07-00-00',)"
74,,"(nan,)","(nan,)",1,1.6,0,"(nan,)"
60,1000.0,"(1011.3175115185189,)","(1000.0,)",1,1.8,37,"('2017-09-01T07-00-00',)"
65,,"(nan,)","(nan,)",1,2.0,0,"(nan,)"
76,,"(nan,)","(nan,)",1,2.2,0,"(nan,)"
62,1000.0,"(1011.3175115185189,)","(1000.0,)",1,2.4000000000000004,37,"('2017-09-01T07-00-00',)"
72,,"(nan,)","(nan,)",1,2.6000000000000005,0,"(nan,)"
77,,"(nan,)","(nan,)",1,2.8000000000000003,0,"(nan,)"
70,,"(nan,)","(nan,)",1,3.0000000000000004,0,"(nan,)"
73,,"(nan,)","(nan,)",1,3.2,0,"(nan,)"
75,1000.0,"(1011.3175115185189,)","(1000.0,)",1,3.4000000000000004,37,"('2017-09-01T07-00-00',)"
61,,"(nan,)","(nan,)",1,3.6000000000000005,0,"(nan,)"
68,,"(nan,)","(nan,)",1,3.8000000000000003,0,"(nan,)"
64,,"(nan,)","(nan,)",1,4.0,0,"(nan,)"
107,1038.451914169795,"(1008.4176904604795,)","(1000.0,)",3,0.2,37,"('2017-09-01T07-00-00',)"
119,,"(nan,)","(nan,)",3,0.4,0,"(nan,)"
109,1038.1267132326575,"(1008.4176904604795,)","(1000.0,)",3,0.6000000000000001,37,"('2017-09-01T07-00-00',)"
111,1037.6760831200345,"(1008.4176904604795,)","(1000.0,)",3,0.8,37,"('2017-09-01T07-00-00',)"
103,1035.064777369552,"(1008.4176904604795,)","(1000.0,)",3,1.0,37,"('2017-09-01T07-00-00',)"
106,,"(nan,)","(nan,)",3,1.2,0,"(nan,)"
118,,"(nan,)","(nan,)",3,1.4000000000000001,0,"(nan,)"
114,,"(nan,)","(nan,)",3,1.6,0,"(nan,)"
100,,"(nan,)","(nan,)",3,1.8,0,"(nan,)"
105,998.8550721621804,"(1008.4176904604795,)","(1000.0,)",3,2.0,37,"('2017-09-01T07-00-00',)"
116,998.8550721621804,"(1008.4176904604795,)","(1000.0,)",3,2.2,37,"('2017-09-01T07-00-00',)"
102,998.8550721621804,"(1008.4176904604795,)","(1000.0,)",3,2.4000000000000004,37,"('2017-09-01T07-00-00',)"
112,998.8550721621804,"(1008.4176904604795,)","(1000.0,)",3,2.6000000000000005,37,"('2017-09-01T07-00-00',)"
117,998.8550721621804,"(1008.4176904604795,)","(1000.0,)",3,2.8000000000000003,37,"('2017-09-01T07-00-00',)"
110,998.8550721621804,"(1008.4176904604795,)","(1000.0,)",3,3.0000000000000004,37,"('2017-09-01T07-00-00',)"
113,,"(nan,)","(nan,)",3,3.2,0,"(nan,)"
115,,"(nan,)","(nan,)",3,3.4000000000000004,0,"(nan,)"
101,,"(nan,)","(nan,)",3,3.6000000000000005,0,"(nan,)"
108,998.8550721621804,"(1008.4176904604795,)","(1000.0,)",3,3.8000000000000003,37,"('2017-09-01T07-00-00',)"
104,,"(nan,)","(nan,)",3,4.0,0,"(nan,)"
127,1030.7574740033172,"(1005.9939948974303,)","(1000.0,)",5,0.2,37,"('2017-09-01T07-00-00',)"
139,,"(nan,)","(nan,)",5,0.4,0,"(nan,)"
129,,"(nan,)","(nan,)",5,0.6000000000000001,0,"(nan,)"
131,1028.0203936478931,"(1005.9939948974303,)","(1000.0,)",5,0.8,37,"('2017-09-01T07-00-00',)"
123,1028.1755884763922,"(1005.9939948974303,)","(1000.0,)",5,1.0,37,"('2017-09-01T07-00-00',)"
126,1026.3294699155965,"(1005.9939948974303,)","(1000.0,)",5,1.2,37,"('2017-09-01T07-00-00',)"
138,1024.4494729058242,"(1005.9939948974303,)","(1000.0,)",5,1.4000000000000001,37,"('2017-09-01T07-00-00',)"
134,1018.2311207487146,"(1005.9939948974303,)","(1000.0,)",5,1.6,37,"('2017-09-01T07-00-00',)"
120,,"(nan,)","(nan,)",5,1.8,0,"(nan,)"
125,1001.9026216738706,"(1005.9939948974303,)","(1000.0,)",5,2.0,37,"('2017-09-01T07-00-00',)"
136,,"(nan,)","(nan,)",5,2.2,0,"(nan,)"
122,,"(nan,)","(nan,)",5,2.4000000000000004,0,"(nan,)"
132,1001.9026216738706,"(1005.9939948974303,)","(1000.0,)",5,2.6000000000000005,37,"('2017-09-01T07-00-00',)"
137,,"(nan,)","(nan,)",5,2.8000000000000003,0,"(nan,)"
130,1001.9026216738706,"(1005.9939948974303,)","(1000.0,)",5,3.0000000000000004,37,"('2017-09-01T07-00-00',)"
133,1001.9026216738706,"(1005.9939948974303,)","(1000.0,)",5,3.2,37,"('2017-09-01T07-00-00',)"
135,,"(nan,)","(nan,)",5,3.4000000000000004,0,"(nan,)"
121,,"(nan,)","(nan,)",5,3.6000000000000005,0,"(nan,)"
128,1001.9026216738706,"(1005.9939948974303,)","(1000.0,)",5,3.8000000000000003,37,"('2017-09-01T07-00-00',)"
124,1001.9026216738706,"(1005.9939948974303,)","(1000.0,)",5,4.0,37,"('2017-09-01T07-00-00',)"
7,1028.5510085895571,"(1006.4198887610271,)","(1000.0,)",7,0.2,37,"('2017-09-01T07-00-00',)"
19,1026.3092075626098,"(1006.4198887610271,)","(1000.0,)",7,0.4,37,"('2017-09-01T07-00-00',)"
9,,"(nan,)","(nan,)",7,0.6000000000000001,0,"(nan,)"
