x1,y1,z1,x2,y2,y3,y4,y5,y6,y7
0.339967,0.634772,0.406577,0.705721,0.974739,1.041349,1.112298,1.045688,0.746544,1.340493
0.545816,0.499087,0.546023,0.499311,1.044903,1.04511,1.045334,1.045127,1.091839,0.998398
0.541654,0.501302,0.541736,0.501371,1.042956,1.043038,1.043107,1.043025,1.08339,1.002673
0.841604,0,1,0.139767,0.841604,1,1.139767,0.981371,1.841604,0.139767
0.625944,0.407261,0.66082,0.432536,1.033205,1.068081,1.093356,1.05848,1.286764,0.839797
0.605807,0.302909,0.665453,0.351757,0.908716,0.968362,1.01721,0.957564,1.27126,0.654666
0.501692,0.500475,0.501906,0.500695,1.002167,1.002381,1.002601,1.002387,1.003598,1.00117
0.499735,0.495214,0.499786,0.495272,0.994949,0.995,0.995058,0.995007,0.999521,0.990486
0.546138,0.498648,0.54639,0.498882,1.044786,1.045038,1.045272,1.04502,1.092528,0.99753
0.866788,0.762276,1,0.875629,1.629064,1.762276,1.875629,1.742417,1.866788,1.637905
0.5405,0.608679,0.588801,0.641893,1.149179,1.19748,1.230694,1.182393,1.129301,1.250572
0.6712,0.599781,0.729257,0.654192,1.270981,1.329038,1.383449,1.325392,1.400457,1.253973
0.502122,0.499072,0.502359,0.499341,1.001194,1.001431,1.0017,1.001463,1.004481,0.998413
0,0.721078,0.160434,0.860634,0.721078,0.881512,1.021068,0.860634,0.160434,1.581712
0,0.895829,0.169665,1,0.895829,1.065494,1.169665,1,0.169665,1.895829
0.541803,0.501263,0.541865,0.501295,1.043066,1.043128,1.04316,1.043098,1.083668,1.002558
0,0,0.140368,0.159777,0,0.140368,0.300145,0.159777,0.140368,0.159777
0.541831,0.501295,0.541886,0.501347,1.043126,1.043181,1.043233,1.043178,1.083717,1.002642
0.545677,0.498247,0.545876,0.498574,1.043924,1.044123,1.04445,1.044251,1.091553,0.996821
0.140368,0,0.280439,0.131909,0.140368,0.280439,0.412348,0.272277,0.420807,0.131909
0.247481,0.246845,0.33091,0.342744,0.494326,0.577755,0.673654,0.590225,0.578391,0.589589
